Wins,WardsPlaced,WardsDestroyed,FirstBlood,Kills,Deaths,Assists,EliteMonsters,Dragons,Heralds,TowersDestroyed,TotalGold,AvgLevel,TotalExperience,TotalMinionsKilled,TotalJungleMinionsKilled,GoldDiff,ExperienceDiff,CSPerMin,GoldPerMin
0,28,2,1,9,6,11,0,0,0,0,0.4995759771798628,6.6,0.5724063994722085,195,36,643,-8,19.5,1721.0
0,12,1,0,5,5,5,0,0,0,0,0.306992521779354,6.6,0.508576612238166,174,43,-2908,-1173,17.4,1471.2
0,15,0,0,7,11,4,1,1,0,0,0.4150026983270373,6.4,0.5049480455220189,186,46,-1172,-1033,18.6,1611.3
0,43,1,0,4,5,5,1,0,1,0,0.34129982268136605,7.0,0.6478640936829952,201,55,-1321,-7,20.1,1515.7
0,75,4,0,6,6,6,0,0,0,0,0.43712898003238,7.0,0.6964374072241465,210,57,-1004,230,21.0,1640.0
1,18,0,0,5,3,6,1,1,0,0,0.3985043558707887,7.0,0.66493485073396,225,42,698,101,22.5,1589.9
1,18,3,1,7,6,7,1,1,0,0,0.4736720376223885,6.8,0.5664687448457858,225,53,2411,1563,22.5,1687.4
0,16,2,0,5,13,3,0,0,0,0,0.35270989129596797,6.4,0.49810324921655946,209,48,-2615,-800,20.9,1530.5
0,16,3,0,7,7,8,0,0,0,0,0.43720607509058673,7.2,0.6951179284182748,189,61,-1979,-771,18.9,1640.1
1,13,1,1,4,5,5,1,1,0,0,0.3335903168606892,6.8,0.5531090219363352,220,39,-1548,-1574,22.0,1505.7
0,20,3,1,4,4,6,0,0,0,0,0.36573895613291196,6.6,0.5371103414151409,231,28,331,-1585,23.1,1547.4
0,33,2,1,11,11,7,1,0,1,0,0.45987202220337686,7.0,0.6934685799109351,157,40,-1505,-635,15.7,1669.5
1,18,1,1,7,1,11,1,1,0,0,0.5500732403052965,7.4,0.7425366980042883,238,53,3274,1659,23.8,1786.5
0,14,3,0,4,9,1,1,0,1,0,0.32757690232056136,6.6,0.5867557314860631,210,52,-3414,-1141,21.0,1497.9
1,15,3,1,4,4,4,0,0,0,0,0.3848585305681905,6.8,0.6430809830117102,224,51,-470,-187,22.4,1572.2
0,17,1,0,3,7,3,0,0,0,0,0.33035232441600504,6.8,0.5670460168233548,209,53,-1996,-1804,20.9,1501.5
1,14,1,1,10,2,8,0,0,0,0,0.6940868090355409,7.6,0.8876793666501731,263,56,5228,3378,26.3,1973.3
0,43,3,0,3,7,3,1,0,1,0,0.3177858299283015,6.8,0.5599538182417944,203,54,-1975,-1345,20.3,1485.2
1,21,4,1,5,4,11,0,0,0,0,0.4280317631639813,6.8,0.6003628566716147,213,49,882,512,21.3,1628.2
0,11,3,0,5,9,5,0,0,0,0,0.32873332819366274,7.0,0.6453900709219859,188,48,-3155,-2773,18.8,1499.4
1,14,3,1,11,6,15,1,1,0,0,0.6072006784365122,7.2,0.7550717466600693,214,45,2526,1625,21.4,1860.6
0,13,1,0,4,13,5,0,0,0,0,0.3968853596484466,6.8,0.5646544614877124,203,43,-2835,-2821,20.3,1587.8
0,17,2,0,4,6,3,0,0,0,0,0.3887903785367358,7.0,0.615536862939139,238,56,-1254,-567,23.8,1577.3
