Wins,WardsPlaced,WardsDestroyed,FirstBlood,Kills,Deaths,Assists,EliteMonsters,Dragons,Heralds,TowersDestroyed,TotalGold,AvgLevel,TotalExperience,TotalMinionsKilled,TotalJungleMinionsKilled,GoldDiff,ExperienceDiff,CSPerMin,GoldPerMin,team
0,28,2,1,9,6,11,0,0,0,0,0.4995759771798628,6.6,0.5724063994722085,195,36,643,-8,19.5,1721.0,Blue
0,12,1,0,5,5,5,0,0,0,0,0.306992521779354,6.6,0.508576612238166,174,43,-2908,-1173,17.4,1471.2,Blue
0,15,0,0,7,11,4,1,1,0,0,0.4150026983270373,6.4,0.5049480455220189,186,46,-1172,-1033,18.6,1611.3,Blue
0,43,1,0,4,5,5,1,0,1,0,0.34129982268136605,7.0,0.6478640936829952,201,55,-1321,-7,20.1,1515.7,Blue
0,75,4,0,6,6,6,0,0,0,0,0.43712898003238,7.0,0.6964374072241465,210,57,-1004,230,21.0,1640.0,Blue
1,18,0,0,5,3,6,1,1,0,0,0.3985043558707887,7.0,0.66493485073396,225,42,698,101,22.5,1589.9,Blue
1,18,3,1,7,6,7,1,1,0,0,0.4736720376223885,6.8,0.5664687448457858,225,53,2411,1563,22.5,1687.4,Blue
0,16,2,0,5,13,3,0,0,0,0,0.35270989129596797,6.4,0.49810324921655946,209,48,-2615,-800,20.9,1530.5,Blue
0,16,3,0,7,7,8,0,0,0,0,0.43720607509058673,7.2,0.6951179284182748,189,61,-1979,-771,18.9,1640.1,Blue
1,13,1,1,4,5,5,1,1,0,0,0.3335903168606892,6.8,0.5531090219363352,220,39,-1548,-1574,22.0,1505.7,Blue
0,20,3,1,4,4,6,0,0,0,0,0.36573895613291196,6.6,0.5371103414151409,231,28,331,-1585,23.1,1547.4,Blue
0,33,2,1,11,11,7,1,0,1,0,0.45987202220337686,7.0,0.6934685799109351,157,40,-1505,-635,15.7,1669.5,Blue
1,18,1,1,7,1,11,1,1,0,0,0.5500732403052965,7.4,0.7425366980042883,238,53,3274,1659,23.8,1786.5,Blue
0,14,3,0,4,9,1,1,0,1,0,0.32757690232056136,6.6,0.5867557314860631,210,52,-3414,-1141,21.0,1497.9,Blue
1,15,3,1,4,4,4,0,0,0,0,0.3848585305681905,6.8,0.6430809830117102,224,51,-470,-187,22.4,1572.2,Blue
0,17,1,0,3,7,3,0,0,0,0,0.33035232441600504,6.8,0.5670460168233548,209,53,-1996,-1804,20.9,1501.5,Blue
1,14,1,1,10,2,8,0,0,0,0,0.6940868090355409,7.6,0.8876793666501731,263,56,5228,3378,26.3,1973.3,Blue
0,43,3,0,3,7,3,1,0,1,0,0.3177858299283015,6.8,0.5599538182417944,203,54,-1975,-1345,20.3,1485.2,Blue
1,21,4,1,5,4,11,0,0,0,0,0.4280317631639813,6.8,0.6003628566716147,213,49,882,512,21.3,1628.2,Blue
0,11,3,0,5,9,5,0,0,0,0,0.32873332819366274,7.0,0.6453900709219859,188,48,-3155,-2773,18.8,1499.4,Blue
1,14,3,1,11,6,15,1,1,0,0,0.6072006784365122,7.2,0.7550717466600693,214,45,2526,1625,21.4,1860.6,Blue
0,13,1,0,4,13,5,0,0,0,0,0.3968853596484466,6.8,0.5646544614877124,203,43,-2835,-2821,20.3,1587.8,Blue
0,17,2,0,4,6,3,0,0,0,0,0.3887903785367358,7.0,0.615536862939139,238,56,-1254,-567,23.8,1577.3,Blue
0,78,4,0,4,3,4,2,1,1,0,0.3990440212782361,6.8,0.7521853867722249,238,67,406,1283,23.8,1590.6,Blue
1,33,3,0,6,9,10,0,0,0,0,0.44599491172615846,6.8,0.5875804057397328,208,45,-1020,493,20.8,1651.5,Blue
0,17,1,0,4,8,4,0,0,0,0,0.3611903476987125,6.2,0.4905987135081643,204,44,-2472,-1067,20.4,1541.5,Blue
1,18,1,0,8,6,9,1,1,0,0,0.4971089353172461,7.0,0.6396173511462971,209,44,1260,-55,20.9,1717.8,Blue
0,19,3,1,7,4,9,0,0,0,0,0.5008094981111711,7.0,0.7326406069602506,228,61,1857,2015,22.8,1722.6,Blue
0,105,5,1,8,6,13,1,1,0,0,0.5199290725464497,6.8,0.6051459673428995,217,53,1320,-413,21.7,1747.4,Blue
0,18,5,0,3,8,2,1,1,0,0,0.3218718680132603,6.8,0.6495134421903347,233,52,-3282,-1647,23.3,1490.5,Blue
1,22,7,1,9,4,10,1,1,0,0,0.5706576208465038,7.0,0.6579251195777668,228,40,2883,2111,22.8,1813.2,Blue
1,17,4,1,5,2,6,2,1,1,0,0.4103769948346311,6.8,0.6026719445818901,218,51,1703,1696,21.8,1605.3,Blue
0,12,3,0,6,4,7,0,0,0,0,0.44005859224423716,6.8,0.5682830282038595,203,32,608,-85,20.3,1643.8,Blue
0,15,2,1,5,4,4,0,0,0,0,0.37807416544599504,6.8,0.5159986805211941,201,45,71,-359,20.1,1563.4,Blue
1,40,2,0,6,4,4,0,0,0,0,0.4128440366972478,7.4,0.7403925449447467,204,56,275,872,20.4,1608.5,Blue
0,24,3,0,3,4,6,0,0,0,0,0.32773109243697485,6.8,0.5759524987629886,235,52,-809,638,23.5,1498.1,Blue
0,12,4,0,2,8,2,1,1,0,0,0.3616529180479532,7.2,0.7568860300181427,217,84,-2771,-1125,21.7,1542.1,Blue
0,20,2,1,5,6,4,1,0,1,0,0.3804641122504048,6.8,0.6282368464456539,203,48,-1730,-1236,20.3,1566.5,Blue
0,11,3,0,7,9,5,1,0,1,0,0.5240922056896152,7.2,0.7843476826653472,234,68,-904,1377,23.4,1752.8,Blue
0,18,2,0,3,6,3,1,0,1,0,0.3316629404055199,6.6,0.5553356424212436,213,48,-1683,-1363,21.3,1503.2,Blue
0,28,3,0,4,11,3,0,0,0,0,0.3664328116567729,6.8,0.599043377865743,222,48,-3025,-1833,22.2,1548.3,Blue
1,36,1,0,10,6,12,0,0,0,0,0.6549996145247089,7.4,0.82632360217714,231,44,3004,2300,23.1,1922.6,Blue
1,18,3,0,9,6,14,1,1,0,0,0.4791457867550689,6.8,0.6356589147286821,204,36,1574,761,20.4,1694.5,Blue
1,12,2,1,5,5,3,0,0,0,0,0.32919589854290343,6.6,0.5273791852218374,233,16,-1036,-1423,23.3,1500.0,Blue
0,18,4,1,3,4,2,1,0,1,0,0.3976563102305143,7.4,0.7415470888998844,252,60,16,433,25.2,1588.8,Blue
0,41,0,0,1,10,0,0,0,0,0,0.16922365276385787,6.4,0.4453240969816922,187,32,-6386,-4210,18.7,1292.5,Blue
1,14,4,1,11,2,9,0,0,0,0,0.6568498959216714,7.6,0.7920996206498433,251,48,5096,3310,25.1,1925.0,Blue
1,19,1,1,8,4,5,1,1,0,1,0.5878498188266131,7.0,0.7168068612897905,218,54,2756,1683,21.8,1835.5,Blue
1,15,2,0,2,3,2,1,0,1,0,0.2504047490555855,6.6,0.5221012699983506,180,44,-977,-1025,18.0,1397.8,Blue
0,16,1,0,5,5,8,0,0,0,0,0.39480379307686386,6.8,0.599373247567211,206,56,-808,-1655,20.6,1585.1,Blue
0,14,0,0,7,9,5,0,0,0,0,0.44283401433968084,6.6,0.6028368794326241,209,50,-1559,-407,20.9,1647.4,Blue
