WardsPlaced,WardsDestroyed,Kills,Deaths,Assists,EliteMonsters,Dragons,Heralds,TowersDestroyed,TotalGold,AvgLevel,TotalExperience,TotalMinionsKilled,TotalJungleMinionsKilled,GoldDiff,ExperienceDiff,CSPerMin,GoldPerMin,FirstBlood_0,FirstBlood_1,Wins
15,6,6,9,8,0,0,0,0,0.46484375,6.8,0.5576075906472383,197,55,-643,8,19.7,1656.7,1,0,1
12,1,5,5,2,2,1,1,1,0.5562499999999999,6.8,0.5907319552694003,240,52,2908,1173,24.0,1762.0,0,1,1
15,3,11,7,14,0,0,0,0,0.527170138888889,6.8,0.575144018976618,203,28,1172,1033,20.3,1728.5,0,1,1
15,2,5,4,10,0,0,0,0,0.4571180555555556,7.0,0.635038969840732,235,47,1321,7,23.5,1647.8,0,1,1
17,2,6,6,7,1,1,0,0,0.5375000000000001,7.0,0.6648593697051847,225,67,1004,-230,22.5,1740.4,0,1,1
36,5,3,5,2,0,0,0,0,0.3462673611111111,7.0,0.6434259573026094,221,59,-698,-101,22.1,1520.1,0,1,0
57,1,6,7,9,0,0,0,0,0.2822048611111112,6.4,0.4184174855981023,164,35,-2411,-1563,16.4,1446.3,1,0,0
15,0,13,5,11,1,1,0,0,0.5822916666666667,6.6,0.5483734327346662,157,54,2615,800,15.7,1792.0,0,1,1
15,2,7,7,5,2,1,1,0,0.6222222222222222,7.2,0.7483056590986107,240,53,1979,771,24.0,1838.0,0,1,1
16,2,5,4,4,0,0,0,0,0.46814236111111107,6.8,0.6704506946797696,247,43,1548,1574,24.7,1660.5,1,0,0
15,2,4,4,5,1,1,0,0,0.3412326388888889,7.2,0.6549474754320569,216,51,-331,1585,21.6,1514.3,1,0,1
17,1,11,11,9,0,0,0,0,0.6065972222222222,7.0,0.7350898000677736,188,52,1505,635,18.8,1820.0,1,0,1
12,1,1,7,1,0,0,0,0,0.2933159722222223,6.8,0.5911555404947476,240,50,-3274,-1659,24.0,1459.1,1,0,0
20,3,9,4,11,0,0,0,0,0.6233506944444445,7.2,0.6683327685530328,229,51,3414,1141,22.9,1839.3,0,1,1
102,1,4,4,3,0,0,0,0,0.43229166666666674,7.0,0.6453744493392072,242,48,470,187,24.2,1619.2,1,0,0
18,3,7,3,13,0,0,0,0,0.5033854166666667,7.2,0.7042527956624874,237,51,1996,1804,23.7,1701.1,0,1,1
13,2,2,10,2,1,1,0,0,0.28585069444444455,6.8,0.5946289393425958,210,64,-5228,-3378,21.0,1450.5,1,0,0
17,14,7,3,6,0,0,0,0,0.4874131944444444,6.8,0.6580820060996272,218,53,1975,1345,21.8,1682.7,0,1,1
19,3,4,5,3,2,1,1,0,0.36354166666666665,6.6,0.5422738054896646,228,52,-882,-512,22.8,1540.0,1,0,0
15,1,9,5,9,0,0,0,0,0.6021701388888889,7.4,0.8668248051507964,219,56,3155,2773,21.9,1814.9,0,1,1
12,2,6,11,4,0,0,0,0,0.42256944444444455,7.0,0.6069129108776686,225,48,-2526,-1625,22.5,1608.0,1,0,0
15,3,13,4,14,1,1,0,0,0.6511284722222221,7.2,0.7879532361911218,209,45,2835,2821,20.9,1871.3,0,1,1
16,3,6,4,10,1,1,0,0,0.5047743055555556,7.0,0.6492714334124027,231,60,1254,567,23.1,1702.7,0,1,1
15,3,3,4,3,0,0,0,0,0.37222222222222223,7.0,0.6329210437139953,220,64,-406,-1283,22.0,1550.0,0,1,1
18,3,9,6,13,0,0,0,0,0.5488715277777778,6.6,0.530752287360217,197,36,1020,-493,19.7,1753.5,0,1,0
19,2,8,4,13,1,1,0,0,0.5794270833333333,7.0,0.5632836326668925,221,36,2472,1067,22.1,1788.7,0,1,1
10,3,6,8,3,0,0,0,0,0.40850694444444446,6.8,0.6306336834971197,233,36,-1260,55,23.3,1591.8,0,1,0
14,4,4,7,2,1,1,0,0,0.3608506944444445,6.6,0.5508302270416808,202,49,-1857,-2015,20.2,1536.9,1,0,1
65,3,6,8,11,0,0,0,0,0.42899305555555567,6.8,0.6255506607929516,223,40,-1320,413,22.3,1615.4,1,0,1
18,3,8,3,12,0,0,0,0,0.60546875,7.4,0.7756692646560489,225,52,3282,1647,22.5,1818.7,0,1,1
21,4,4,9,2,0,0,0,0,0.35043402777777777,6.2,0.46594374788207393,227,36,-2883,-2111,22.7,1524.9,1,0,0
15,2,2,5,2,0,0,0,0,0.2723958333333334,6.4,0.44434090138935967,206,48,-1703,-1696,20.6,1435.0,1,0,0
19,2,4,6,4,1,1,0,0,0.4008680555555555,6.8,0.5598949508641139,206,44,-608,85,20.6,1583.0,0,1,1
14,1,4,5,4,1,1,0,0,0.37769097222222214,6.8,0.5293968146391054,222,38,-71,359,22.2,1556.3,1,0,1
15,1,4,6,5,1,1,0,0,0.39913194444444455,7.2,0.6556252117926128,223,62,-275,-872,22.3,1581.0,0,1,0
17,2,4,3,7,2,1,1,0,0.3973958333333334,6.8,0.506523212470349,218,50,809,-638,21.8,1579.0,0,1,1
14,2,8,2,5,0,0,0,0,0.6059027777777779,7.4,0.8417485598102338,234,64,2771,1125,23.4,1819.2,0,1,1
40,4,6,5,6,1,1,0,0,0.5367187499999999,7.0,0.7189935615045747,214,67,1730,1236,21.4,1739.5,1,0,1
18,1,9,7,9,1,1,0,0,0.6267361111111112,7.0,0.6579972890545579,227,40,904,-1377,22.7,1843.2,0,1,1
36,3,6,3,6,1,1,0,0,0.47769097222222223,7.0,0.6548627583869876,236,44,1683,1363,23.6,1671.5,0,1,1
41,0,11,4,16,1,1,0,0,0.6333333333333333,7.2,0.7395798034564555,213,39,3025,1833,21.3,1850.8,0,1,1
16,2,6,10,7,0,0,0,0,0.43489583333333326,7.0,0.622924432395798,185,39,-3004,-2300,18.5,1622.2,0,1,0
17,2,6,9,6,0,0,0,0,0.36102430555555554,6.8,0.5574381565570993,194,54,-1574,-761,19.4,1537.1,0,1,0
19,1,5,5,4,0,0,0,0,0.41874999999999996,7.0,0.6312267028126058,221,44,1036,1423,22.1,1603.6,1,0,0
39,4,4,3,2,1,1,0,0,0.40451388888888884,7.0,0.6940020332090816,243,49,-16,-433,24.3,1587.2,1,0,1
12,1,10,1,6,1,0,1,1,0.7030381944444444,7.2,0.7830396475770925,247,56,6386,4210,24.7,1931.1,0,1,1
15,3,2,11,2,0,0,0,0,0.2553819444444445,6.4,0.5022026431718062,196,53,-5096,-3310,19.6,1415.4,1,0,0
13,5,4,8,5,0,0,0,0,0.3808159722222222,6.8,0.5626906133514064,200,57,-2756,-1683,20.0,1559.9,1,0,0
12,4,3,2,1,0,0,0,0,0.32491319444444455,6.8,0.5920874279905118,218,56,977,1025,21.8,1495.5,0,1,0
38,6,5,5,6,0,0,0,0,0.472829861111111,7.2,0.724839037614368,241,44,808,1655,24.1,1665.9,0,1,1
22,4,9,7,13,1,1,0,0,0.5921006944444445,6.8,0.6226702812605897,206,53,1559,407,20.6,1803.3,0,1,1
12,1,8,6,7,0,0,0,0,0.41961805555555554,7.0,0.6560487970179602,182,44,-544,-75,18.2,1604.6,0,1,0
16,3,2,5,1,0,0,0,0,0.2729166666666667,7.0,0.6058963063368351,212,60,-1381,-1017,21.2,1435.6,1,0,0
15,1,3,5,5,1,1,0,0,0.3252604166666666,7.0,0.6540155879362929,210,68,-2031,-1449,21.0,1495.9,1,0,0
20,2,3,3,1,0,0,0,0,0.3432291666666667,7.2,0.7095052524567943,227,64,-131,-370,22.7,1516.6,0,1,1
30,2,10,4,11,1,1,0,0,0.6196180555555555,7.4,0.8454761097932905,201,54,2699,2749,20.1,1835.0,0,1,1
14,0,7,5,6,0,0,0,0,0.5249131944444445,7.4,0.7606743476787531,218,76,1672,2698,21.8,1725.9,1,0,1
18,4,6,10,5,0,0,0,0,0.46562499999999996,6.8,0.6226702812605897,234,44,-1201,-316,23.4,1657.6,1,0,0
14,4,5,7,4,0,0,0,0,0.4619791666666666,6.8,0.6678244662826162,247,44,108,-59,24.7,1653.4,1,0,0
20,1,7,10,6,1,1,0,0,0.3848090277777778,6.6,0.5795493053202304,182,45,-4633,-2269,18.2,1564.5,0,1,1
18,3,7,2,4,1,1,0,0,0.42022569444444446,6.8,0.6237716028464927,218,48,2262,1391,21.8,1605.3,0,1,1
17,2,7,6,10,1,1,0,0,0.46371527777777777,6.8,0.5677736360555744,207,45,49,-500,20.7,1655.4,0,1,1
36,3,4,6,5,1,0,1,0,0.38003472222222223,7.2,0.6824805150796341,232,56,-1687,-1089,23.2,1559.0,1,0,0
